"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 21 16:07:50 GMT 2022","Tue Jun 21 16:07:57 GMT 2022","7159","","tests.AlertTest","","tests.AlertTest","TestInputCancel","TestInputCancel()",""
"broken","Tue Jun 21 16:07:48 GMT 2022","Tue Jun 21 16:07:48 GMT 2022","157","","tests.ProgressBarTest","","tests.ProgressBarTest","TestProgressBarDownload","TestProgressBarDownload()",""
"broken","Tue Jun 21 16:07:44 GMT 2022","Tue Jun 21 16:07:44 GMT 2022","540","","tests.DualListBoxTest","","tests.DualListBoxTest","TestAddSingleElement","TestAddSingleElement()",""
"passed","Tue Jun 21 16:07:57 GMT 2022","Tue Jun 21 16:08:01 GMT 2022","3351","","tests.InputFieldTest","","tests.InputFieldTest","TestSumTwoNumbers","TestSumTwoNumbers()","Összeadás valid adatokkal"
"passed","Tue Jun 21 16:08:01 GMT 2022","Tue Jun 21 16:08:04 GMT 2022","3525","","tests.InputFieldTest","","tests.InputFieldTest","TestSumTwoInvalidInputs","TestSumTwoInvalidInputs()","Összeadás invalid adatokkal"
"passed","Tue Jun 21 16:07:46 GMT 2022","Tue Jun 21 16:07:48 GMT 2022","1639","","tests.RadioButtonTest","","tests.RadioButtonTest","TestMultipleCheckedButton","TestMultipleCheckedButton()","Rádiógomb teszt 2"
"passed","Tue Jun 21 16:07:44 GMT 2022","Tue Jun 21 16:07:46 GMT 2022","2016","","tests.RadioButtonTest","","tests.RadioButtonTest","TestSingleCheckedButton","TestSingleCheckedButton()","Rádiógomb teszt"
"passed","Tue Jun 21 16:07:48 GMT 2022","Tue Jun 21 16:07:50 GMT 2022","2115","","tests.AlertTest","","tests.AlertTest","TestSubmitValidInput","TestSubmitValidInput()",""
"broken","Tue Jun 21 16:07:43 GMT 2022","Tue Jun 21 16:07:44 GMT 2022","1032","","tests.DualListBoxTest","","tests.DualListBoxTest","TestAddAllElementButton","TestAddAllElementButton()",""
