"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 21 16:14:10 GMT 2022","Tue Jun 21 16:14:12 GMT 2022","2065","","tests.RadioButtonTest","","tests.RadioButtonTest","TestMultipleCheckedButton","TestMultipleCheckedButton()","Rádiógomb teszt 2"
"passed","Tue Jun 21 16:14:01 GMT 2022","Tue Jun 21 16:14:05 GMT 2022","3247","","tests.DualListBoxTest","","tests.DualListBoxTest","TestAddAllElementButton","TestAddAllElementButton()",""
"passed","Tue Jun 21 16:14:22 GMT 2022","Tue Jun 21 16:14:25 GMT 2022","3652","","tests.InputFieldTest","","tests.InputFieldTest","TestSumTwoNumbers","TestSumTwoNumbers()","Összeadás valid adatokkal"
"passed","Tue Jun 21 16:14:05 GMT 2022","Tue Jun 21 16:14:07 GMT 2022","2596","","tests.DualListBoxTest","","tests.DualListBoxTest","TestAddSingleElement","TestAddSingleElement()",""
"passed","Tue Jun 21 16:14:07 GMT 2022","Tue Jun 21 16:14:10 GMT 2022","2435","","tests.RadioButtonTest","","tests.RadioButtonTest","TestSingleCheckedButton","TestSingleCheckedButton()","Rádiógomb teszt"
"passed","Tue Jun 21 16:14:12 GMT 2022","Tue Jun 21 16:14:14 GMT 2022","2264","","tests.AlertTest","","tests.AlertTest","TestSubmitValidInput","TestSubmitValidInput()",""
"passed","Tue Jun 21 16:14:14 GMT 2022","Tue Jun 21 16:14:22 GMT 2022","7418","","tests.AlertTest","","tests.AlertTest","TestInputCancel","TestInputCancel()",""
"broken","Tue Jun 21 16:14:12 GMT 2022","Tue Jun 21 16:14:12 GMT 2022","179","","tests.ProgressBarTest","","tests.ProgressBarTest","TestProgressBarDownload","TestProgressBarDownload()",""
"passed","Tue Jun 21 16:14:25 GMT 2022","Tue Jun 21 16:14:29 GMT 2022","3654","","tests.InputFieldTest","","tests.InputFieldTest","TestSumTwoInvalidInputs","TestSumTwoInvalidInputs()","Összeadás invalid adatokkal"
